TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
97,121,1,39,368,258,-341.0,15.503875969,on,on,10,-1,bounded,10,1,100,1,spacer,1,off
100,74,0,5,368,179,194.0,2.79329608939,on,off,5000,10,auto,10,100,1000,5,eldarica,10,abstractPO
84,67,0,5,368,156,155.0,3.20512820513,off,off,10,100,bounded,10,1,100,5,eldarica,100,abstract
102,74,0,4,368,180,214.0,2.22222222222,off,off,5000,10,auto,10,1000,1000,3,eldarica,5000,debug
93,82,0,37,368,212,-324.0,17.4528301887,on,off,1000,1000,bounded,5000,1000,1000,2,spacer,1000,off
101,0,0,0,368,101,202.0,0.0,off,off,5000,-1,unbounded,100,10,100,2,eldarica,10,debug
42,131,1,62,368,236,-809.0,26.6949152542,on,on,5000,1,auto,1,1,10,3,eldarica,10,abstract
102,18,1,1,368,122,174.0,1.6393442623,off,off,10,-1,auto,1,1000,100,2,eldarica,100,abstract
101,0,0,0,368,101,202.0,0.0,on,on,10,-1,auto,1000,-1,-1,4,eldarica,5000,debug
37,2,0,1,368,40,60.0,2.5,on,on,5000,1,auto,100,1000,-1,2,eldarica,10,debug
0,0,0,0,368,0,0.0,0.0,off,off,1,10,bounded,100,100,1,1,eldarica,10,abstract
98,0,5,0,368,103,36.0,4.85436893204,off,off,10,100,auto,5000,1000,1000,1,eldarica,1,abstractPO
